Timestamp,What is the highest priority management decision that this project should focus on?,What is the scope of the highest priority management decision that this project should focus on?,"If a detailed example is preferred, which species should be the focus?",What is the next highest priority management decision that this project should focus on?,What is the scope of the next highest priority management decision that this project should focus on?,"If a detailed example is preferred, which species should be the focus?"
3/24/2026 14:01:04,Catch/Quota Setting,Develop a detailed example tailored to a particular species (Please write in species below),Illex squid,Spatial Measures,Develop a detailed example tailored to a particular species (Please write in species below),Atlantic mackerel
3/24/2026 18:06:10,Risk Policy,Develop a general process that could work across species/FMPs,n/a,Catch/Quota Setting,Develop a general process that could work across species/FMPs,n/a
3/25/2026 8:18:21,Measures Setting,Develop a detailed example tailored to a particular species (Please write in species below),Summer flounder,Catch/Quota Setting,Develop a detailed example tailored to a particular species (Please write in species below),Summer flounder
3/25/2026 13:39:27,Risk Policy,Develop a general process that could work across species/FMPs,NA,Catch/Quota Setting,Develop a detailed example tailored to a particular species (Please write in species below),Menhaden or Summer Flounder
3/25/2026 15:28:12,Measures Setting,Develop a general process that could work across species/FMPs,NA,Risk Policy,Develop a general process that could work across species/FMPs,NA
3/26/2026 14:37:38,Risk Policy,Develop a general process that could work across species/FMPs,NA,Catch/Quota Setting,Develop a general process that could work across species/FMPs,NA
3/27/2026 11:44:39,Risk Policy,Develop a general process that could work across species/FMPs,Fluke/Scup/BSB,Spatial Measures,Develop a general process that could work across species/FMPs,MSB
3/27/2026 13:40:33,Measures Setting,Develop a general process that could work across species/FMPs,Na,Risk Policy,Develop a general process that could work across species/FMPs,Risk policies are great but need to be used 
3/27/2026 14:48:05,Risk Policy,Develop a general process that could work across species/FMPs,black sea bass,Measures Setting,Develop a general process that could work across species/FMPs,Ilex squid
3/27/2026 15:03:04,Risk Policy,Develop a general process that could work across species/FMPs,NA,Spatial Measures,Develop a general process that could work across species/FMPs,NA
3/28/2026 10:36:40,Catch/Quota Setting,Develop a detailed example tailored to a particular species (Please write in species below),Loligo squid,Spatial Measures,Develop a detailed example tailored to a particular species (Please write in species below),Same as above
3/30/2026 8:30:39,Catch/Quota Setting,Develop a general process that could work across species/FMPs,Black Sea bass,Spatial Measures,Develop a detailed example tailored to a particular species (Please write in species below),Summer flounder
